id,name,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,iata_code,,,,,,,,,,,,,,,,,
32275,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,18,SB,SB-TE,SCZ,,,,,,,,,,,,,,,,,
4,Munda Airport,-8.32797,157.263,10,SB,SB-WE,MUA,,,,,,,,,,,,,,,,,
31563,Nusatupe Airport,-8.097780228,156.8639984,13,SB,SB-WE,GZO,,,,,,,,,,,,,,,,,
31932,Mono Airport,-7.41694,155.565002,35,SB,SB-WE,MNY,,,,,,,,,,,,,,,,,
32174,Parasi Airport,-9.641670227,161.4250031,,SB,SB-ML,PRS,,,,,,,,,,,,,,,,,
35171,Rennell/Tingoa Airport,-11.55,160.062778,550,SB,SB-RB,RNL,,,,,,,,,,,,,,,,,
30989,Sege Airport,-8.57889,157.876007,,SB,SB-WE,EGM,,,,,,,,,,,,,,,,,
308425,Santa Ana Airport,-10.847994,162.454108,3,SB,SB-MK,NNB,,,,,,,,,,,,,,,,,
32238,Marau Airport,-9.86167,160.824997,3,SB,SB-GU,RUS,,,,,,,,,,,,,,,,,
32564,Suavanao Airport,-7.58556,158.731003,20,SB,SB-IS,VAO,,,,,,,,,,,,,,,,,
302292,Yandina Airport,-9.092816,159.21841,60,SB,SB-CE,XYA,,,,,,,,,,,,,,,,,
301651,Kagua Airport,-6.396388889,143.8536111,5350,PG,PG-SHM,AGK,,,,,,,,,,,,,,,,,
35169,Kaghau Airport,-7.3305,157.585,30,SB,SB-CH,KGE,,,,,,,,,,,,,,,,,
310179,Kukudu Airport,-8.0262,156.94783,32,SB,SB-WE,KUE,,,,,,,,,,,,,,,,,
308424,Kwailabesi Airport,-8.360508,160.775127,52,SB,SB-ML,KWS,,,,,,,,,,,,,,,,,
524977,Lomlom Airport,-10.296828,166.327322,55,SB,SB-TE,LLM,,,,,,,,,,,,,,,,,
310002,Nana Airport,-10.6758,162.2049,60,SB,SB-MK,NAZ,,,,,,,,,,,,,,,,,
508090,Manaoba Airport,-8.325008,160.80051,14,SB,SB-ML,MHM,,,,,,,,,,,,,,,,,
35168,Gatokae Aerodrome,-8.738358,158.202836,70,SB,SB-WE,GTA,,,,,,,,,,,,,,,,,
32211,Ringi Cove Airport,-8.126390457,157.1430054,,SB,SB-WE,RIN,,,,,,,,,,,,,,,,,
35170,Ramata Airport,-8.168060303,157.6430054,,SB,SB-WE,RBV,,,,,,,,,,,,,,,,,
306999,Tulaghi Heliport,-9.108,160.1491667,3,SB,SB-CE,TLG,,,,,,,,,,,,,,,,,
299324,Ambatolhy Airport,-20.01583333,45.535,340,MG,MG-U,AHY,,,,,,,,,,,,,,,,,
299328,Ailinglaplap Airok Airport,7.279422,168.8257,16,MH,MH-ALL,AIC,,,,,,,,,,,,,,,,,
16108,Chena Hot Springs Airport,65.05180359,-146.0469971,1195,US,US-AK,CEX,,,,,,,,,,,,,,,,,
16120,Solomon State Field,64.5605,-164.4457,25,US,US-AK,SOL,,,,,,,,,,,,,,,,,
16125,Herendeen Bay Airport,55.802346,-160.901346,20,US,US-AK,HED,,,,,,,,,,,,,,,,,
16141,Taylor Airport,65.6792984,-164.798996,440,US,US-AK,TWE,,,,,,,,,,,,,,,,,
16149,Tikchik Lodge Seaplane Base,59.96319962,-158.477005,304,US,US-AK,KTH,,,,,,,,,,,,,,,,,
16155,Naukati Bay Seaplane Base,55.849602,-133.227994,,US,US-AK,NKI,,,,,,,,,,,,,,,,,
16169,Candle 2 Airport,65.90769959,-161.9259949,15,US,US-AK,CDL,,,,,,,,,,,,,,,,,
16174,Amook Bay Seaplane Base,57.4715004,-153.8150024,,US,US-AK,AOS,,,,,,,,,,,,,,,,,
16188,Boswell Bay Airport,60.42309952,-146.1459961,230,US,US-AK,BSW,,,,,,,,,,,,,,,,,
301754,Zakuoma Airport,10.89027778,19.81722222,1370,TD,TD-SA,AKM,,,,,,,,,,,,,,,,,
16289,Alitak Seaplane Base,56.897294,-154.249692,,US,US-AK,ALZ,,,,,,,,,,,,,,,,,
44682,Syunik Airport,39.202272,46.455204,2308,AM,AM-SU,YUK,,,,,,,,,,,,,,,,,
301755,Alto Molocue Airport,-15.61027778,37.68138889,1950,MZ,MZ-Q,AME,,,,,,,,,,,,,,,,,
301758,Ambatomainty Airport,-17.686667,45.623889,1025,MG,MG-M,AMY,,,,,,,,,,,,,,,,,
8,Nauru International Airport,-0.547893,166.919525,22,NR,NR-14,INU,,,,,,,,,,,,,,,,,
312361,Angus Downs Airport,-25.0325,132.2748,1724,AU,AU-NT,ANZ,,,,,,,,,,,,,,,,,
35325,Catoca Airport,-9.431359,20.311557,3498,AO,AO-LSU,CTV,,,,,,,,,,,,,,,,,
43971,Andulo Airport,-11.4723,16.710899,,AO,AO-BIE,ANL,,,,,,,,,,,,,,,,,
30840,Cangamba Airport,-13.7106,19.861099,3894,AO,AO-MOX,CNZ,,,,,,,,,,,,,,,,,
43323,Dirico Airport,-17.981924,20.768061,3504,AO,AO-CCU,DRC,,,,,,,,,,,,,,,,,
43326,N'dalatando Airport,-9.280378,14.982432,2684,AO,AO-CNO,NDF,,,,,,,,,,,,,,,,,
301705,Annanberg Airport,-4.904166667,144.6358333,130,PG,PG-MPM,AOB,,,,,,,,,,,,,,,,,
312362,Abou-Deïa Airport,11.4773,19.2874,1592,TD,TD-SA,AOD,,,,,,,,,,,,,,,,,
301727,Asapa Airport,-8.979167,148.103611,1930,PG,PG-NPP,APP,,,,,,,,,,,,,,,,,
16294,Girdwood-Alyeska Airport,60.968774,-149.119792,150,US,US-AK,AQY,,,,,,,,,,,,,,,,,
35399,Bragado Airport,-35.145811,-60.480294,196,AR,AR-B,QRF,,,,,,,,,,,,,,,,,
35401,Caleta Olivia Airport,-46.37428,-67.59409,37,AR,AR-Z,CVI,,,,,,,,,,,,,,,,,
35403,Charata Airport,-27.2164,-61.2103,318,AR,AR-H,CNT,,,,,,,,,,,,,,,,,
35404,General Villegas Airport,-34.995728,-62.999725,383,AR,AR-B,VGS,,,,,,,,,,,,,,,,,
35405,Los Menucos Airport,-40.817699,-68.074699,2571,AR,AR-R,LMD,,,,,,,,,,,,,,,,,
35412,Valcheta Airport,-40.700001,-66.150002,629,AR,AR-R,VCF,,,,,,,,,,,,,,,,,
42812,Carmen de Patagones Airport,-40.7781,-62.9803,131,AR,AR-B,CPG,,,,,,,,,,,,,,,,,
301707,Aragip Airport,-9.883333333,149.4833333,1750,PG,PG-MBA,ARP,,,,,,,,,,,,,,,,,
301732,Asirim Airport,-6.009722222,150.3686111,1050,PG,PG-WBK,ASZ,,,,,,,,,,,,,,,,,
601314,[Duplicate] Wolf's Fang Runway,-71.5264,8.799459,3707,AQ,AQ-U-A,WFR,,,,,,,,,,,,,,,,,
313838,Lady Elliot Island Airstrip,-24.1129,152.7156,20,AU,AU-QLD,LYT,,,,,,,,,,,,,,,,,
354527,Gruyere Airport,-28.034548,123.81506,1542,AU,AU-WA,GYZ,,,,,,,,,,,,,,,,,
30622,Agnew Airport,-12.1456,142.149369,160,AU,AU-QLD,AGW,,,,,,,,,,,,,,,,,
30666,Alroy Downs Airport,-19.2908,136.078995,711,AU,AU-NT,AYD,,,,,,,,,,,,,,,,,
30808,Baniyala Airport,-13.1981,136.227005,20,AU,AU-NT,BYX,,,,,,,,,,,,,,,,,
30841,Coolibah Airport,-15.54829979,130.9620056,,AU,AU-NT,COB,,,,,,,,,,,,,,,,,
30851,Coorabie Airport,-31.89439964,132.2960052,,AU,AU-SA,CRJ,,,,,,,,,,,,,,,,,
30853,Carlton Hill Airport,-15.50189972,128.5339966,,AU,AU-WA,CRY,,,,,,,,,,,,,,,,,
30855,Cresswell Downs Airport,-17.94799995,135.9160004,,AU,AU-NT,CSD,,,,,,,,,,,,,,,,,
30959,Diamantina Lakes Airport,-23.76169968,141.1450043,,AU,AU-QLD,DYM,,,,,,,,,,,,,,,,,
35302,Hayman Island Resort Seaplane Base,-20.05999947,148.8809967,,AU,AU-QLD,HIS,,,,,,,,,,,,,,,,,
31606,Helenvale Airport,-15.6857996,145.2149963,,AU,AU-QLD,HLV,,,,,,,,,,,,,,,,,
31723,Kimberley Downs Airport,-17.398577,124.355565,196,AU,AU-WA,KBD,,,,,,,,,,,,,,,,,
31745,Kulgera Airport,-25.8428,133.292007,,AU,AU-NT,KGR,,,,,,,,,,,,,,,,,
32152,Peppimenarti Airport,-14.1442,130.091003,83,AU,AU-NT,PEP,,,,,,,,,,,,,,,,,
32201,Rockhampton Downs Airport,-18.95330048,135.201004,,AU,AU-NT,RDA,,,,,,,,,,,,,,,,,
32384,Sturt Creek Airport,-19.16640091,128.173996,,AU,AU-WA,SSK,,,,,,,,,,,,,,,,,
32401,Shaw River Airport,-21.51029968,119.3619995,,AU,AU-WA,SWB,,,,,,,,,,,,,,,,,
32486,Torwood Airport,-17.36330032,143.75,,AU,AU-QLD,TWP,,,,,,,,,,,,,,,,,
32752,Springvale Airport,-17.7869,127.669998,,AU,AU-WA,ZVG,,,,,,,,,,,,,,,,,
313134,Awar Airport (unusable),-4.122278,144.853292,35,PG,PG-MPM,AWR,,,,,,,,,,,,,,,,,
314558,Alxa Left Banner Bayanhot Airport,38.748317,105.58416,4560,CN,CN-15,AXF,,,,,,,,,,,,,,,,,
352222,Pantar Kabir Airport,-8.244832,124.219108,18,ID,ID-NT,AXO,,,,,,,,,,,,,,,,,
301676,Ama Airport,-4.101111111,141.67,145,PG,PG-ESW,AMF,,,,,,,,,,,,,,,,,
301736,Mount Aue Airport,-6.229978,144.664181,4250,PG,PG-JWK,UAE,,,,,,,,,,,,,,,,,
301665,Afore Airstrip,-9.13867,148.390701,2500,PG,PG-NPP,AFR,,,,,,,,,,,,,,,,,
301668,Agaun Airport,-9.927715,149.389951,3200,PG,PG-MBA,AUP,,,,,,,,,,,,,,,,,
301672,Aitape Airport,-3.143611,142.346806,10,PG,PG-SAN,ATP,,,,,,,,,,,,,,,,,
301654,Aiambak Airport,-7.342777778,141.2675,90,PG,PG-WPD,AIH,,,,,,,,,,,,,,,,,
301689,Amanab Airport,-3.586,141.2143333,1307,PG,PG-SAN,AMU,,,,,,,,,,,,,,,,,
301695,Andakombe Airport,-7.137222222,145.7447222,3600,PG,PG-EHG,ADC,,,,,,,,,,,,,,,,,
46170,Aiome Airport,-5.145699978,144.7307003,350,PG,PG-MPM,AIE,,,,,,,,,,,,,,,,,
307980,Kompiam Airport,-5.381666667,143.9247222,5100,PG,PG-EPW,KPM,,,,,,,,,,,,,,,,,
301693,Ambunti Airport,-4.215666667,142.8231667,50,PG,PG-ESW,AUJ,,,,,,,,,,,,,,,,,
42763,Awaba Airport,-8.013414,142.752099,32,PG,PG-WPD,AWB,,,,,,,,,,,,,,,,,
299319,Aseki Airport,-7.350805,146.193994,4106,PG,PG-MPL,AEK,,,,,,,,,,,,,,,,,
301673,Aiyura Airport,-6.338055556,145.9041667,5355,PG,PG-EHG,AYU,,,,,,,,,,,,,,,,,
35179,Baimuru Airport,-7.496955,144.821756,27,PG,PG-GPK,VMU,,,,,,,,,,,,,,,,,
301858,Bambu Airport,-5.863611111,146.4925,6790,PG,PG-MPM,BCP,,,,,,,,,,,,,,,,,
301975,Bodinumu Airport,-9.107777778,147.6667222,3700,PG,PG-CPM,BNM,,,,,,,,,,,,,,,,,
302044,Bamu Airport,-7.8485,143.2433,50,PG,PG-WPD,BMZ,,,,,,,,,,,,,,,,,
301874,Baindoung Airport,-6.347222222,146.9422222,4400,PG,PG-MPL,BDZ,,,,,,,,,,,,,,,,,
301802,Bensbach Airport,-8.858055556,141.2594444,30,PG,PG-WPD,BSP,,,,,,,,,,,,,,,,,
301803,Bewani Airport,-3.021666667,141.1652778,550,PG,PG-SAN,BWP,,,,,,,,,,,,,,,,,
53,Buka Airport,-5.422299,154.672698,11,PG,PG-NSB,BUA,,,,,,,,,,,,,,,,,
30675,Bialla Airport,-5.330560207,151.0079956,51,PG,PG-WBK,BAA,,,,,,,,,,,,,,,,,
35180,Balimo Airport,-8.050000191,142.9329987,51,PG,PG-WPD,OPU,,,,,,,,,,,,,,,,,
302041,Bomai Airport,-6.373166667,144.637,3300,PG,PG-CPK,BMH,,,,,,,,,,,,,,,,,
301792,Bapi Airstrip,-7.743611111,147.0205556,2930,PG,PG-MPL,BPD,,,,,,,,,,,,,,,,,
301804,Biangabip Airport,-5.526389,141.744583,1069,PG,PG-WPD,BPK,,,,,,,,,,,,,,,,,
311258,Biaru Airport,-7.6693,146.7594,4900,PG,PG-MPL,BRP,,,,,,,,,,,,,,,,,
46171,Bulolo Airport,-7.216286671,146.6495419,2240,PG,PG-MPL,BUL,,,,,,,,,,,,,,,,,
301809,Biniguni Airport,-9.6425,149.303889,215,PG,PG-MBA,XBN,,,,,,,,,,,,,,,,,
35147,Chungribu Airport,-4.80662,144.714996,108,PG,PG-MPM,CVB,,,,,,,,,,,,,,,,,
46172,Cape Gloucester Airport,-5.455231,148.422289,78,PG,PG-WBK,CGC,,,,,,,,,,,,,,,,,
54,Chimbu Airport,-6.024290085,144.970993,4974,PG,PG-CPK,CMU,,,,,,,,,,,,,,,,,
302210,China Strait Airstrip,-10.56277778,150.6906944,10,PG,PG-MBA,SQT,,,,,,,,,,,,,,,,,
302094,Debepare Airport,-6.308611111,141.9055556,360,PG,PG-WPD,DBP,,,,,,,,,,,,,,,,,
302107,Derim Airport,-6.144722222,147.1072222,4850,PG,PG-MPL,DER,,,,,,,,,,,,,,,,,
302046,Bundi Airport,-5.742222222,145.2275,4400,PG,PG-MPM,BNT,,,,,,,,,,,,,,,,,
313962,Munduku Airport,-4.6204,143.4516,100,PG,PG-ESW,MDM,,,,,,,,,,,,,,,,,
311717,Kondobol Airport,-8.5336,142.5049,132,PG,PG-WPD,KPF,,,,,,,,,,,,,,,,,
311110,Dinangat Airport,-6.1546,146.6772,5309,PG,PG-MPL,DNU,,,,,,,,,,,,,,,,,
311116,Doini Airport,-10.7009,150.7218,31,PG,PG-MBA,DOI,,,,,,,,,,,,,,,,,
308061,Dorobisoro Airport,-9.461855,147.920907,1767,PG,PG-CPM,DOO,,,,,,,,,,,,,,,,,
55,Daru Airport,-9.08676,143.207993,20,PG,PG-WPD,DAU,,,,,,,,,,,,,,,,,
308223,Kerau Airport,-8.271612,147.071899,7360,PG,PG-CPM,KRU,,,,,,,,,,,,,,,,,
311135,Embessa Airport,-9.447,148.7628,131,PG,PG-NPP,EMS,,,,,,,,,,,,,,,,,
308012,Edwaki Airport,-3.883986,141.792234,190,PG,PG-SAN,XYR,,,,,,,,,,,,,,,,,
46174,Emirau Airport,-1.653949991,149.9757667,172,PG,PG-NIK,EMI,,,,,,,,,,,,,,,,,
302537,Efogi Airport,-9.153805556,147.6598056,3900,PG,PG-CPM,EFG,,,,,,,,,,,,,,,,,
306957,Morehead Airport,-8.714111111,141.6444444,100,PG,PG-WPD,MHY,,,,,,,,,,,,,,,,,
311132,Eliptamin Airport,-5.0412,141.6779,4825,PG,PG-SAN,EPT,,,,,,,,,,,,,,,,,
311202,Engati Airstrip,-6.9179,146.1053,3715,PG,PG-MPL,EGA,,,,,,,,,,,,,,,,,
311200,Emo River Airstrip,-9.1234,148.0415,2240,PG,PG-NPP,EMO,,,,,,,,,,,,,,,,,
311205,Erume Airport,-8.2538,146.9747,6690,PG,PG-CPM,ERU,,,,,,,,,,,,,,,,,
313974,Meselia Airport,-6.1364,149.1183,180,PG,PG-WBK,MFZ,,,,,,,,,,,,,,,,,
301979,Bosset Airport,-7.237257,141.1063222,80,PG,PG-WPD,BOT,,,,,,,,,,,,,,,,,
46175,Erave Airport,-6.606463154,143.9002132,3650,PG,PG-SHM,ERE,,,,,,,,,,,,,,,,,
307647,Siwea Airport,-6.284181,147.582371,5960,PG,PG-MPL,SWE,,,,,,,,,,,,,,,,,
307150,Fane Airport,-8.549277778,147.0858333,4500,PG,PG-CPM,FNE,,,,,,,,,,,,,,,,,
311370,Feramin Airport,-5.208,141.6988,4655,PG,PG-SAN,FRQ,,,,,,,,,,,,,,,,,
46177,Finschhafen Airport,-6.621750109,147.85405,60,PG,PG-MPL,FIN,,,,,,,,,,,,,,,,,
307757,Frieda River Airport,-4.610468,141.960138,217,PG,PG-ESW,FAQ,,,,,,,,,,,,,,,,,
311384,Fuma Airport,-6.3933,142.4408,466,PG,PG-WPD,FUM,,,,,,,,,,,,,,,,,
56,Goroka Airport,-6.081689835,145.3919983,5282,PG,PG-EHG,GKA,,,,,,,,,,,,,,,,,
309161,Gewoia Airport,-9.2263,148.4949,340,PG,PG-NPP,GEW,,,,,,,,,,,,,,,,,
